CRESTA,Haz,Vuln,Overall
SE_1267,4.45E-02,-2.38E-02,1.96E-02
SE_1270,3.57E-02,-8.08E-03,2.73E-02
SE_1272,0.129219779,2.80E-03,0.132377635
SE_1273,7.83E-02,-3.21E-03,7.49E-02
SE_1275,0.131224144,-1.98E-03,0.128988024
SE_1276,0.124694273,-2.73E-03,0.121625857
SE_1277,5.54E-02,6.91E-03,6.27E-02
SE_1278,0.131026775,1.13E-03,0.132307182
SE_1280,4.92E-02,2.13E-02,7.16E-02
SE_1281,0.04964654,7.70E-03,5.77E-02
SE_1282,4.03E-02,0.012246569,5.31E-02
SE_1283,8.41E-02,1.58E-02,0.101207696
SE_1284,0.138585172,3.02E-02,0.173000067
SE_1285,0.026191569,3.59E-03,2.99E-02
SE_1286,5.04E-02,2.45E-03,5.30E-02
SE_1287,0.041407464,9.25E-03,5.10E-02
SE_1290,3.77E-02,1.77E-03,3.95E-02
SE_1291,1.30E-02,4.93E-03,1.80E-02
SE_1292,0.110427426,-3.05E-04,0.1100885
SE_1293,0.118103159,-3.71E-03,0.113958307
SE_1315,1.97E-02,-6.28E-03,1.33E-02
SE_1380,0.188945441,-5.09E-03,0.182895526
SE_1381,0.133280934,-2.44E-02,0.105637091
SE_1382,0.18384638,-1.04E-02,0.171492319
SE_1383,0.155773549,-9.87E-03,0.1443629
SE_1384,0.113306838,-0.002815503,0.110172319
SE_1401,2.97E-02,4.88E-04,3.02E-02
SE_1402,-5.83E-03,2.29E-02,1.69E-02
SE_1407,8.89E-02,2.12E-02,0.111902328
SE_1415,3.72E-02,-9.58E-03,2.73E-02
SE_1419,3.34E-02,-2.09E-02,1.19E-02
SE_1421,2.38E-02,-3.12E-02,-8.07E-03
SE_1427,0.050321348,-1.23E-02,3.74E-02
SE_1430,0.072643607,-8.69E-03,6.33E-02
SE_1435,0.04709594,-0.020886469,2.52E-02
SE_1438,2.35E-02,-1.07E-02,1.26E-02
SE_1439,8.65E-03,-8.53E-03,4.65E-05
SE_1440,6.67E-03,-4.45E-03,2.18E-03
SE_1441,-1.29E-02,6.56E-03,-6.44E-03
SE_1442,-2.01E-02,-1.14E-02,-3.13E-02
SE_1443,-0.026199403,-3.21E-03,-2.93E-02
SE_1444,-2.64E-02,-1.28E-02,-3.89E-02
SE_1445,-1.84E-02,-1.98E-02,-3.78E-02
SE_1446,-7.47E-02,-7.19E-04,-7.53E-02
SE_1447,-6.24E-03,-6.85E-03,-1.30E-02
SE_1452,3.39E-04,-5.40E-03,-5.07E-03
SE_1460,1.70E-02,-4.13E-03,1.28E-02
SE_1461,-0.018242399,-5.21E-03,-2.34E-02
SE_1462,-3.99E-02,-7.07E-03,-0.046698599
SE_1463,7.73E-02,-9.70E-04,7.63E-02
SE_1465,1.94E-02,-6.76E-03,1.25E-02
SE_1466,-3.46E-02,-1.43E-02,-4.84E-02
SE_1470,-3.27E-02,-1.79E-02,-0.04998405
SE_1471,-2.01E-02,-4.83E-03,-0.024855956
SE_1472,-7.30E-02,-7.14E-03,-7.96E-02
SE_1473,-5.10E-02,-7.55E-03,-5.82E-02
SE_1480,0.112156049,0.017781748,0.131932128
SE_1481,9.82E-03,1.99E-02,3.00E-02
SE_1482,0.041883129,-6.44E-04,4.12E-02
SE_1484,4.14E-02,-2.68E-02,0.013428094
SE_1485,4.34E-02,-3.24E-03,4.00E-02
SE_1486,-1.78E-02,-2.02E-02,-3.76E-02
SE_1487,-4.79E-02,-1.85E-04,-4.81E-02
SE_1488,-1.59E-02,3.45E-03,-1.25E-02
SE_1489,1.29E-02,7.25E-04,1.36E-02
SE_1490,9.61E-03,4.59E-03,1.42E-02
SE_1491,-1.96E-02,-7.36E-03,-2.68E-02
SE_1492,0.030159822,-3.89E-03,2.62E-02
SE_1493,2.01E-04,1.29E-03,1.49E-03
SE_1494,-1.13E-02,-1.54E-03,-1.29E-02
SE_1495,-3.81E-02,-7.25E-03,-4.50E-02
SE_1496,-0.048946163,-5.81E-04,-4.95E-02
SE_1497,-8.38E-02,-1.95E-03,-0.085629645
SE_1498,-0.072670882,-6.54E-03,-7.87E-02
SE_1499,-0.049885231,-8.44E-03,-5.79E-02
SE_1715,-5.33E-03,-6.16E-03,-1.15E-02
SE_1730,2.27E-02,-4.54E-03,1.80E-02
SE_1737,9.65E-02,-2.16E-03,0.094094692
SE_1760,-1.12E-02,-7.81E-03,-0.018962399
SE_1761,-3.68E-02,7.26E-03,-2.98E-02
SE_1762,1.68E-02,-1.62E-03,1.51E-02
SE_1763,1.08E-02,-2.19E-03,8.57E-03
SE_1764,3.61E-03,-2.52E-03,1.08E-03
SE_1765,-4.13E-02,-7.53E-03,-4.86E-02
SE_1766,1.98E-02,-4.63E-03,1.51E-02
SE_1780,-1.21E-02,2.85E-04,-1.18E-02
SE_1781,-0.023902326,-5.61E-04,-2.44E-02
SE_1782,-3.01E-02,-3.10E-03,-3.31E-02
SE_1783,4.25E-02,-2.87E-03,3.95E-02
SE_1784,1.55E-02,-4.24E-03,1.12E-02
SE_1785,1.31E-02,-4.19E-04,0.012706637
SE_1814,-3.68E-03,-5.32E-03,-8.98E-03
SE_1860,-0.01910294,-9.11E-03,-2.80E-02
SE_1861,-4.63E-02,-3.81E-03,-4.99E-02
SE_1862,-7.56E-03,-1.25E-03,-8.80E-03
SE_1863,-0.055077246,-6.25E-03,-6.10E-02
SE_1864,-0.058927753,-1.22E-02,-7.04E-02
SE_1880,-4.15E-02,4.30E-03,-3.74E-02
SE_1881,-3.02E-02,2.21E-03,-2.80E-02
SE_1882,-3.55E-02,-1.01E-02,-4.53E-02
SE_1883,-3.16E-03,4.93E-03,1.75E-03
SE_1884,-3.55E-02,-6.90E-03,-4.22E-02
SE_1885,-0.060375925,-6.57E-03,-6.65E-02
SE_1904,-6.54E-02,-1.07E-02,-7.54E-02
SE_1907,-6.68E-02,7.89E-04,-6.60E-02
SE_1917,-7.32E-02,-0.016183649,-8.82E-02
SE_1960,-6.82E-02,-7.93E-03,-7.56E-02
SE_1961,-6.77E-02,2.79E-03,-6.51E-02
SE_1962,-0.103196742,-1.42E-02,-0.115921292
SE_1980,-7.86E-02,2.84E-03,-7.60E-02
SE_1981,-9.84E-02,-8.39E-03,-0.105930709
SE_1982,-7.37E-02,-4.09E-03,-7.75E-02
SE_1983,-0.056519717,-1.02E-02,-6.62E-02
SE_1984,-3.62E-02,-3.48E-03,-3.95E-02
SE_2021,-4.72E-02,-2.27E-03,-4.94E-02
SE_2023,-5.24E-03,-7.28E-03,-1.25E-02
SE_2026,-0.113658205,-3.90E-03,-0.117117428
SE_2029,-0.116976813,-6.29E-03,-0.122531858
SE_2031,-0.084358142,-4.62E-03,-8.86E-02
SE_2034,-1.92E-02,-2.50E-03,-2.16E-02
SE_2039,4.46E-02,-4.45E-03,3.99E-02
SE_2061,-0.120360801,-7.36E-03,-0.12683781
SE_2062,-0.052548579,-1.58E-03,-5.40E-02
SE_2080,-0.177078753,-1.55E-03,-0.178353593
SE_2081,-0.146621246,1.41E-03,-0.145421238
SE_2082,-0.197168672,-5.26E-03,-0.201388617
SE_2083,-0.175033391,-5.38E-03,-0.179474069
SE_2084,-0.126763534,-2.92E-03,-0.129317315
SE_2085,-6.52E-02,-7.91E-04,-6.60E-02
SE_2101,-0.183466471,-5.92E-03,-0.188301441
SE_2104,-0.131043221,-4.14E-03,-0.134640886
SE_2121,-5.97E-02,-6.64E-03,-6.59E-02
SE_2132,-0.175225248,-3.06E-03,-0.177748319
SE_2161,-4.87E-02,-2.73E-03,-0.051322223
SE_2180,-0.177701215,1.27E-03,-0.176657322
SE_2181,-0.140202212,-2.06E-03,-0.141971426
SE_2182,-0.200304018,-4.73E-03,-0.20408959
SE_2183,-0.170395149,-3.80E-03,-0.173548049
SE_2184,-0.186656337,-1.70E-03,-0.188037759
SE_2260,-5.26E-02,-8.77E-04,-5.35E-02
SE_2262,-0.100593506,-4.26E-03,-0.104426155
SE_2280,-7.24E-02,-2.04E-03,-7.43E-02
SE_2281,-0.117694213,-1.90E-03,-0.119370815
SE_2282,-5.54E-02,-8.55E-04,-5.63E-02
SE_2283,-0.171243666,-6.05E-04,-0.171745097
SE_2284,-0.207620202,-1.11E-03,-0.208496841
SE_2303,-0.117132537,-1.34E-03,-0.118314736
SE_2305,-5.36E-02,-1.12E-03,-5.46E-02
SE_2309,-8.80E-03,-6.08E-04,-9.41E-03
SE_2313,-9.48E-02,-3.20E-04,-9.51E-02
SE_2321,2.35E-02,-1.11E-03,2.24E-02
SE_2326,5.52E-02,-2.53E-03,5.25E-02
SE_2361,1.53E-02,-2.50E-03,1.28E-02
SE_2380,-1.18E-02,-2.54E-04,-1.20E-02
SE_2401,-0.279844685,-6.13E-03,-0.284256864
SE_2403,-0.3988544,-4.11E-03,-0.401323574
SE_2404,-0.394069078,-2.87E-03,-0.395809498
SE_2409,-0.251932433,-7.61E-03,-0.257624004
SE_2417,-0.186177144,-1.92E-03,-0.187740419
SE_2418,-6.10E-02,3.02E-04,-6.08E-02
SE_2421,-1.00E-02,-9.11E-04,-1.09E-02
SE_2422,4.89E-02,-1.86E-04,4.87E-02
SE_2425,-0.12745846,-8.34E-04,-0.128186196
SE_2460,-0.314899704,-4.68E-03,-0.318104029
SE_2462,-0.131803561,-8.68E-04,-0.132556945
SE_2463,-0.272419425,-2.91E-04,-0.272631274
SE_2480,-0.219060147,-8.44E-04,-0.219719011
SE_2481,-0.253984946,-2.13E-04,-0.25414409
SE_2482,-0.234986914,-1.89E-03,-0.236432682
SE_2505,-4.29E-02,4.49E-04,-0.042430375
SE_2506,0.044274689,-6.11E-04,4.36E-02
SE_2510,8.46E-02,4.12E-05,8.47E-02
SE_2513,5.40E-02,-2.35E-03,5.15E-02
SE_2514,-0.116894371,-1.17E-03,-0.117927351
SE_2518,-2.34E-03,-1.75E-03,-4.08E-03
SE_2521,6.90E-02,-6.16E-04,6.83E-02
SE_2523,8.54E-02,3.64E-04,0.085748281
SE_2560,-2.42E-02,-3.75E-03,-2.79E-02
SE_2580,-0.25471758,-1.31E-03,-0.255691724
SE_2581,-0.072052762,-5.09E-03,-7.68E-02
SE_2582,3.36E-02,-2.56E-03,3.09E-02
SE_2583,-0.879122364,-6.03E-03,-0.879851728
SE_2584,9.87E-02,4.63E-04,0.099236932
SK_01,-8.13E-02,-1.09E-03,-8.23E-02
SK_02,-0.116083251,-1.00E-03,-0.116970554
SK_03,-9.58E-02,-8.40E-04,-9.65E-02
SK_04,-0.132561142,3.18E-04,-0.132284967
SK_05,-8.39E-02,-1.20E-03,-8.50E-02
SK_06,-5.38E-02,-9.34E-04,-5.47E-02
SK_07,-7.18E-02,-9.06E-04,-7.26E-02
SK_08,-8.19E-02,-1.18E-03,-8.29E-02
SK_09,-6.42E-02,-8.96E-04,-6.51E-02
SK_81,-2.01E-02,4.48E-05,-2.00E-02
SK_82,-2.80E-02,-7.57E-04,-2.87E-02
SK_83,-0.102169239,-6.41E-04,-0.102745155
SK_84,-0.109433487,-7.94E-04,-0.11014079
SK_85,-6.46E-02,-5.44E-04,-6.51E-02
SK_90,-8.58E-02,-1.22E-03,-8.70E-02
SK_91,-0.126933068,-1.15E-03,-0.127932784
SK_92,-7.38E-02,-1.21E-03,-7.49E-02
SK_93,-5.39E-02,-1.18E-03,-5.50E-02
SK_94,-0.10103827,-1.41E-03,-0.10230544
SK_95,-0.055862553,-1.27E-03,-5.71E-02
SK_96,-4.44E-02,-1.04E-04,-4.45E-02
SK_97,-0.150663698,-4.20E-04,-0.15102073
SK_98,-5.05E-02,-5.48E-04,-5.10E-02
SK_99,-3.79E-02,-8.24E-04,-3.87E-02
GB_AB,1.10E-02,-0.142174707,-0.132775795
GB_AL,7.03E-03,-0.118659498,-0.112465766
GB_B,-5.64E-03,-0.101522149,-0.10658846
GB_BA,0.070473668,-0.153299724,-9.36E-02
GB_BB,-5.80E-02,-0.431121113,-0.464143577
GB_BD,-9.84E-02,-0.335436606,-0.400817354
GB_BH,7.23E-02,-0.133302353,-7.06E-02
GB_BL,-3.54E-02,-0.290962508,-0.316048787
GB_BN,8.18E-02,-0.13341094,-6.25E-02
GB_BR,-6.55E-04,-0.138184656,-0.13874946
GB_BS,6.11E-02,-0.18997878,-0.140496128
GB_BT,-1.61E-02,-0.138955337,-0.152832417
GB_CA,-7.19E-02,-0.11241607,-0.176204881
GB_CB,-0.111819607,-0.11019546,-0.209693054
GB_CF,8.84E-02,-0.335566994,-0.276802887
GB_CH,-5.42E-02,-0.436800307,-0.467353236
GB_CM,1.24E-02,-0.293125875,-0.284373218
GB_CO,-2.30E-03,-0.351495946,-0.352985252
GB_CR,1.57E-02,-0.140977386,-0.127516022
GB_CT,1.99E-02,-0.343995421,-0.330941251
GB_CV,1.14E-04,-0.113832662,-0.113731735
GB_CW,-4.91E-02,-0.293364319,-0.328065312
GB_DA,-2.08E-02,-0.15341406,-0.171060956
GB_DD,2.30E-02,-0.137737735,-0.117888861
GB_DE,-8.40E-02,-0.117746708,-0.19189882
GB_DG,2.08E-02,-0.13279565,-0.114780534
GB_DH,-0.056126129,-0.12169498,-0.170990842
GB_DL,-0.105477645,-0.121463279,-0.214129263
GB_DN,-3.92E-02,-0.329638611,-0.355901022
GB_DT,4.26E-02,-0.276377825,-0.245561698
GB_DY,-1.85E-02,-0.1189203,-0.135222238
GB_E,-2.58E-02,-0.131100909,-0.153525109
GB_EC,5.71E-02,-0.171849226,-0.124583345
GB_EH,-0.021585386,-0.117527855,-0.136576357
GB_EN,-3.34E-02,-0.125831986,-0.155040425
GB_EX,5.76E-02,-0.496157544,-0.467127341
GB_FK,-1.58E-02,-0.110054341,-0.124122976
GB_FY,-4.02E-02,-0.563489069,-0.58103923
GB_G,4.14E-02,-0.116773674,-8.02E-02
GB_GL,4.02E-02,-0.106137219,-7.02E-02
GB_GU,2.48E-02,-0.118017362,-9.61E-02
GB_GY,-5.64E-02,-0.158470739,-0.205892811
GB_HA,2.03E-02,-0.141467371,-0.124051266
GB_HD,-8.34E-02,-0.297518901,-0.356092535
GB_HG,-0.107314036,-0.336702549,-0.407883675
GB_HP,8.90E-03,-0.117425595,-0.109574744
GB_HR,1.07E-02,-0.238414941,-0.230284461
GB_HS,-2.47E-02,-0.179060232,-0.199359126
GB_HU,-1.71E-02,-1.77E-03,-0.018820712
GB_HX,-8.17E-02,-0.295520107,-0.353077652
GB_IG,-0.032561344,-0.135218578,-0.163377024
GB_IM,-4.02E-02,-0.209939093,-0.241703359
GB_IP,-6.72E-02,-0.319264192,-0.364987476
GB_IV,-5.04E-02,-0.142559569,-0.185752723
GB_JE,-6.06E-02,-1.34E-02,-7.32E-02
GB_KA,-4.30E-02,-0.117743258,-0.155715198
GB_KT,3.21E-02,-0.135532641,-0.107763159
GB_KW,-3.22E-02,-0.172841997,-0.199463084
GB_KY,1.34E-02,-0.127346879,-0.115656484
GB_L,-2.08E-02,-0.476185608,-0.487071861
GB_LA,-9.34E-02,-0.130087586,-0.211346716
GB_LD,0.030469339,-0.352578569,-0.332852065
GB_LE,-2.36E-02,-0.116432704,-0.13728995
GB_LL,-6.00E-02,-0.53232256,-0.560365167
GB_LN,-5.52E-02,-0.215894436,-0.259188312
GB_LS,-0.108896862,-0.291655499,-0.368791992
GB_LU,-3.26E-03,-0.120149915,-0.123020358
GB_M,-3.51E-02,-0.27996848,-0.305227546
GB_ME,7.30E-02,-0.26440893,-0.210719664
GB_MK,-0.03772733,-0.113827643,-0.14726056
GB_ML,4.76E-02,-0.110904584,-6.86E-02
GB_N,-3.24E-02,-0.131743113,-0.159844867
GB_NE,1.26E-02,-0.124462699,-0.113406288
GB_NG,-0.11741737,-0.110650033,-0.215075167
GB_NN,-2.07E-02,-0.116361891,-0.134651346
GB_NP,9.62E-02,-0.286886301,-0.21829817
GB_NR,1.64E-02,-3.44E-02,-1.86E-02
GB_NW,8.80E-03,-0.15279137,-0.145334795
GB_OL,-4.65E-02,-0.295037993,-0.32784851
GB_OX,2.44E-02,-0.105845266,-8.40E-02
GB_PA,-1.23E-02,-0.137092311,-0.14771699
GB_PE,-1.19E-02,-0.254430702,-0.263333383
GB_PH,-1.38E-02,-0.120461766,-0.132633241
GB_PL,0.138965637,-0.561866203,-0.500980661
GB_PO,7.33E-03,-0.126240096,-0.119832771
GB_PR,-5.22E-03,-0.562599762,-0.564882607
GB_RG,3.71E-02,-0.114242074,-8.14E-02
GB_RH,1.65E-03,-0.113692728,-0.11223215
GB_RM,-2.22E-02,-0.141103671,-0.160166984
GB_S,-0.119190079,-0.271238383,-0.358099538
GB_SA,0.10366328,-0.562162203,-0.5167745
GB_SE,-0.038921124,-0.123249168,-0.157373295
GB_SG,-6.95E-02,-0.110203755,-0.17203956
GB_SK,-4.54E-02,-0.296198679,-0.328176387
GB_SL,0.016833927,-0.124489268,-0.109750985
GB_SM,3.59E-02,-0.144041407,-0.113320885
GB_SN,6.53E-02,-0.107203611,-4.89E-02
GB_SO,1.53E-02,-0.109169069,-9.55E-02
GB_SP,7.73E-02,-9.99E-02,-3.03E-02
GB_SR,-1.64E-02,-0.141970545,-0.156070546
GB_SS,3.98E-02,-0.281833087,-0.253285658
GB_ST,-5.63E-02,-0.184884007,-0.230802132
GB_SW,-3.81E-03,-0.143615265,-0.146882145
GB_SY,-3.99E-02,-0.362065342,-0.387544595
GB_TA,7.94E-02,-0.303191439,-0.247867045
GB_TD,-1.46E-02,-0.128809115,-0.141535228
GB_TF,-2.79E-02,-0.190420622,-0.212977735
GB_TN,-1.25E-02,-0.153777276,-0.164394291
GB_TQ,0.103769285,-0.562366049,-0.516953087
GB_TR,5.12E-02,-0.566897962,-0.544718963
GB_TS,-7.71E-02,-0.130412402,-0.197487167
GB_TW,1.34E-02,-9.94E-02,-8.74E-02
GB_UB,2.90E-02,-0.129008794,-0.103708285
GB_W,1.61E-02,-0.164965561,-0.151549012
GB_WA,-3.18E-02,-0.297178211,-0.319512111
GB_WC,0.026105851,-0.146859776,-0.124587824
GB_WD,2.04E-02,-0.125365223,-0.10753449
GB_WF,-8.97E-02,-0.292813553,-0.356222764
GB_WN,1.80E-02,-0.368871924,-0.357526223
GB_WR,1.33E-02,-0.110667179,-9.89E-02
GB_WS,1.35E-02,-0.12022129,-0.108329312
GB_WV,-1.22E-02,-0.113481464,-0.124281608
GB_YO,-0.127410837,0.344711786,0.173380933
GB_ZE,-1.64E-02,-0.180717759,-0.194142268
